name,student_id,age,gender,attendance,scholarship,co_curricular_activities,marks,assignment_submission,debtor,displaced,income,prediction
Isha,S345,14,Female,82,Yes,Yes,93,Yes,No,No,228033,Low
Isha,S346,14,Female,92,Yes,No,96,Yes,No,No,189843,Low
Dinesh,S347,10,Male,83,Yes,Yes,76,Yes,No,No,174162,Low
Pradeep,S348,15,Male,56,No,No,43,No,Yes,Yes,66129,High
Pankaj,S349,13,Male,62,No,No,39,No,Yes,Yes,68600,High
Yamini,S350,14,Female,96,Yes,Yes,87,Yes,No,No,223795,Low
Harsh,S351,12,Male,74,No,Yes,61,Half,Yes,No,125866,Medium
Avni,S352,10,Female,80,No,No,54,Half,No,No,90080,Medium
Anika,S353,12,Female,86,Yes,No,81,Yes,No,No,151463,Low
Kiara,S354,10,Female,78,No,Yes,55,Half,Yes,No,122517,Medium
Vihaan,S355,11,Male,76,No,Yes,57,Half,Yes,No,95797,Medium
Riya,S356,13,Female,97,Yes,No,84,Yes,No,No,176945,Low
Kashvi,S357,10,Female,83,Yes,No,89,Yes,No,No,139433,Low
Aayush,S358,14,Male,65,No,No,39,No,Yes,Yes,60521,High
Zaid,S359,15,Male,61,No,No,36,Half,Yes,Yes,68303,High
Leela,S360,12,Female,97,Yes,No,91,Yes,No,No,141896,Low
Rudransh,S361,12,Male,69,No,No,44,Half,Yes,Yes,59935,High
Qiara,S362,13,Female,55,No,No,48,Half,Yes,Yes,71021,High
Ira,S363,13,Female,71,No,Yes,58,Half,Yes,No,107482,Medium
Warda,S364,14,Female,78,No,Yes,55,Half,Yes,No,94690,Medium
Nitya,S365,15,Female,84,Yes,Yes,92,Yes,No,No,213995,Low
Vaidehi,S366,14,Female,77,No,No,63,Half,No,No,90726,Medium
Neel,S367,11,Male,61,No,No,42,Half,Yes,Yes,63919,High
Nirvaan,S368,15,Male,62,No,No,39,No,Yes,Yes,65836,High
Charvak,S369,15,Male,69,No,Yes,55,Half,No,No,127925,Medium
Yug,S370,13,Male,72,No,No,57,Half,No,No,125860,Medium
Urvi,S371,13,Female,67,No,No,49,Half,Yes,Yes,76848,High
Ikshan,S372,12,Male,88,Yes,Yes,87,Yes,No,No,173169,Low
Ananya,S373,10,Female,87,Yes,No,92,Yes,No,No,156189,Low
Riya,S374,13,Female,76,No,No,60,Half,No,No,107652,Medium
Sahil,S375,13,Male,77,No,No,64,Half,Yes,No,93012,Medium
Rudransh,S376,12,Male,80,No,No,64,Half,Yes,No,112989,Medium
Harshita,S377,10,Female,98,Yes,Yes,83,Yes,No,No,152244,Low
Rudransh,S378,12,Male,70,No,No,65,Half,No,No,124199,Medium
Xara,S379,15,Female,95,Yes,Yes,92,Yes,No,No,184009,Low
Vihaan,S380,13,Male,79,No,Yes,65,Half,Yes,No,99248,Medium
Yug,S381,15,Male,95,Yes,No,89,Yes,No,No,176053,Low
Atharv,S382,15,Male,89,Yes,Yes,93,Yes,No,No,146702,Low
Diya,S383,10,Female,76,No,No,60,Half,Yes,No,92163,Medium
Avni,S384,11,Female,68,No,No,45,No,Yes,Yes,64954,High
Kiara,S385,12,Female,92,Yes,No,91,Yes,No,No,192505,Low
Samar,S386,14,Male,57,No,No,46,No,Yes,Yes,55147,High
Elan,S387,13,Male,79,No,Yes,54,Half,No,No,115423,Medium
Diya,S388,12,Female,77,No,No,66,Half,Yes,No,98043,Medium
Ishaan,S389,12,Male,61,No,No,48,No,Yes,Yes,57558,High
Tanish,S390,12,Male,68,No,No,38,No,Yes,Yes,58910,High
Hrithik,S391,13,Male,75,No,Yes,61,Half,No,No,98719,Medium
Harsh,S392,11,Male,55,No,No,42,Half,Yes,Yes,62947,High
Arjav,S393,12,Male,80,No,No,57,Half,Yes,No,99650,Medium
Ushna,S394,12,Female,98,Yes,No,79,Yes,No,No,212291,Low
Aadhya,S395,13,Female,71,No,Yes,55,Half,No,No,116839,Medium
Ananya,S396,10,Female,74,No,Yes,64,Half,No,No,113772,Medium
Daksh,S397,11,Male,70,No,Yes,58,Half,Yes,No,91232,Medium
Ivy,S398,11,Female,83,Yes,Yes,78,Yes,No,No,215493,Low
Vanya,S399,13,Female,57,No,No,42,No,Yes,Yes,57395,High
Tanaya,S400,12,Female,69,No,No,37,No,Yes,Yes,60090,High
Reyansh,S401,12,Male,90,Yes,Yes,81,Yes,No,No,226898,Low
Ananya,S402,12,Female,80,Yes,No,96,Yes,No,No,204779,Low
Samar,S403,15,Male,93,Yes,Yes,77,Yes,No,No,199750,Low
Rudransh,S404,14,Male,93,Yes,Yes,86,Yes,No,No,179184,Low
Qiara,S405,15,Female,97,Yes,Yes,79,Yes,No,No,221827,Low
Nirvaan,S406,12,Male,75,No,Yes,58,Half,Yes,No,116057,Medium
Harsh,S407,11,Male,87,Yes,Yes,84,Yes,No,No,231807,Low
Urvi,S408,10,Female,93,Yes,Yes,90,Yes,No,No,147292,Low
Rajveer,S409,13,Male,69,No,No,41,No,Yes,Yes,66476,High
Siya,S410,15,Female,98,Yes,No,94,Yes,No,No,150501,Low
Chinmay,S411,14,Male,76,No,Yes,54,Half,No,No,124010,Medium
Charvi,S412,12,Female,77,No,Yes,60,Half,Yes,No,106975,Medium
Chinmay,S413,13,Male,91,Yes,No,94,Yes,No,No,225884,Low
Palak,S414,13,Female,95,Yes,No,81,Yes,No,No,148665,Low
Zaid,S415,11,Male,70,No,Yes,65,Half,Yes,No,97606,Medium
Manan,S416,12,Male,75,No,No,54,Half,No,No,121556,Medium
Kiaan,S417,12,Male,75,No,Yes,63,Half,No,No,106572,Medium
Riya,S418,11,Female,79,No,No,61,Half,Yes,No,92956,Medium
Neel,S419,14,Male,75,No,No,64,Half,Yes,No,118747,Medium
Aarohi,S420,12,Female,69,No,No,35,No,Yes,Yes,73577,High
Elakshi,S421,14,Female,70,No,No,57,Half,No,No,99721,Medium
Daksh,S422,13,Male,71,No,Yes,55,Half,No,No,125170,Medium
Kashvi,S423,15,Female,96,Yes,No,85,Yes,No,No,159845,Low
Aarohi,S424,11,Female,87,Yes,Yes,88,Yes,No,No,204065,Low
Ojas,S425,10,Male,89,Yes,No,74,Yes,No,No,218325,Low
Daksh,S426,13,Male,63,No,No,46,No,Yes,Yes,66595,High
Ayaan,S427,13,Male,67,No,No,49,Half,Yes,Yes,70774,High
Rohan,S428,10,Male,73,No,Yes,58,Half,Yes,No,114680,Medium
Ikshan,S429,13,Male,82,Yes,Yes,76,Yes,No,No,167292,Low
Naman,S430,12,Male,79,No,No,56,Half,No,No,107363,Medium
Kashvi,S431,11,Female,90,Yes,Yes,79,Yes,No,No,192263,Low
Arnav,S432,10,Male,58,No,No,37,No,Yes,Yes,66243,High
Qiara,S433,14,Female,69,No,No,56,Half,No,No,118219,Medium
Mahika,S434,13,Female,77,No,No,53,Half,No,No,97994,Medium
Rohan,S435,14,Male,82,Yes,Yes,96,Yes,No,No,232982,Low
Prithvi,S436,12,Male,69,No,No,53,Half,No,No,109613,Medium
Vansh,S437,11,Male,80,No,Yes,54,Half,Yes,No,93867,Medium
Saanvi,S438,12,Female,67,No,No,35,Half,Yes,Yes,60992,High
Aanya,S439,14,Female,83,Yes,Yes,95,Yes,No,No,146625,Low
Faiz,S440,12,Male,63,No,No,38,Half,Yes,Yes,55281,High
Nitya,S441,15,Female,57,No,No,36,No,Yes,Yes,68530,High
Kian,S442,12,Male,78,No,No,60,Half,No,No,122225,Medium
Dev,S443,14,Male,71,No,Yes,57,Half,No,No,103081,Medium
Trisha,S444,15,Female,80,No,Yes,62,Half,No,No,98600,Medium
Ayaan,S445,11,Male,64,No,No,39,Half,Yes,Yes,61593,High
Warda,S446,15,Female,78,No,No,61,Half,Yes,No,94130,Medium
Parth,S447,12,Male,82,Yes,Yes,96,Yes,No,No,231595,Low
Kiara,S448,12,Female,96,Yes,No,93,Yes,No,No,191595,Low
Shivansh,S449,10,Male,66,No,No,38,Half,Yes,Yes,68599,High
Ahaan,S450,15,Male,77,No,Yes,55,Half,No,No,124171,Medium
Amaira,S451,11,Female,71,No,Yes,54,Half,Yes,No,97962,Medium
Prisha,S452,14,Female,66,No,No,35,Half,Yes,Yes,63703,High
Yuvraj,S453,15,Male,68,No,No,48,Half,Yes,Yes,64305,High
Chhavi,S454,13,Female,80,No,Yes,57,Half,No,No,122095,Medium
Madhav,S455,12,Male,85,Yes,No,89,Yes,No,No,147390,Low
Kiara,S456,15,Female,78,No,No,53,Half,No,No,122426,Medium
Navya,S457,14,Female,96,Yes,Yes,81,Yes,No,No,200968,Low
Esha,S458,14,Female,97,Yes,Yes,83,Yes,No,No,200074,Low
Janya,S459,10,Female,56,No,No,40,No,Yes,Yes,56607,High
Aayush,S460,14,Male,94,Yes,Yes,73,Yes,No,No,233023,Low
Disha,S461,12,Female,76,No,Yes,61,Half,Yes,No,108671,Medium
Lakshay,S462,10,Male,87,Yes,Yes,73,Yes,No,No,209119,Low
Palak,S463,10,Female,79,No,No,63,Half,No,No,124618,Medium
Ira,S464,12,Female,76,No,Yes,54,Half,No,No,117675,Medium
Bhairavi,S465,11,Female,87,Yes,Yes,73,Yes,No,No,215153,Low
Gagan,S466,15,Male,81,Yes,No,90,Yes,No,No,182903,Low
Mahika,S467,14,Female,64,No,No,45,No,Yes,Yes,68447,High
Ahaan,S468,14,Male,62,No,No,46,No,Yes,Yes,59901,High
Aaradhya,S469,14,Female,74,No,No,63,Half,Yes,No,101601,Medium
Atharv,S470,12,Male,61,No,No,36,Half,Yes,Yes,55622,High
Disha,S471,15,Female,69,No,Yes,65,Half,No,No,90891,Medium
Urvi,S472,13,Female,81,Yes,Yes,96,Yes,No,No,159863,Low
Aadhya,S473,11,Female,96,Yes,Yes,89,Yes,No,No,183800,Low
Shaurya,S474,11,Male,76,No,No,63,Half,Yes,No,107844,Medium
Aadi,S475,12,Male,87,Yes,Yes,74,Yes,No,No,226252,Low
Wasim,S476,11,Male,91,Yes,Yes,77,Yes,No,No,214965,Low
Gargi,S477,11,Female,56,No,No,35,Half,Yes,Yes,76240,High
Urvi,S478,11,Female,85,Yes,No,73,Yes,No,No,164323,Low
Reyansh,S479,12,Male,58,No,No,35,Half,Yes,Yes,60195,High
Warda,S480,10,Female,80,No,Yes,57,Half,Yes,No,93097,Medium
Nirvaan,S481,13,Male,86,Yes,Yes,76,Yes,No,No,135333,Low
Larisa,S482,12,Female,74,No,No,63,Half,Yes,No,117168,Medium
Gagan,S483,14,Male,58,No,No,39,No,Yes,Yes,68604,High
Kiara,S484,12,Female,95,Yes,Yes,84,Yes,No,No,176060,Low
Yash,S485,15,Male,94,Yes,No,94,Yes,No,No,176279,Low
Yug,S486,10,Male,60,No,No,36,Half,Yes,Yes,70676,High
Rudra,S487,15,Male,56,No,No,46,Half,Yes,Yes,76252,High
Kiara,S488,11,Female,88,Yes,Yes,81,Yes,No,No,204156,Low
Urvi,S489,10,Female,58,No,No,44,Half,Yes,Yes,65218,High
Prisha,S490,10,Female,87,Yes,Yes,89,Yes,No,No,180460,Low
Prisha,S491,13,Female,90,Yes,No,79,Yes,No,No,228997,Low
Advait,S492,15,Male,63,No,No,37,Half,Yes,Yes,75153,High
Kashvi,S493,11,Female,92,Yes,Yes,93,Yes,No,No,186729,Low
Riya,S494,10,Female,60,No,No,37,Half,Yes,Yes,72140,High
Vihaan,S495,14,Male,91,Yes,Yes,88,Yes,No,No,203591,Low
Harshita,S496,11,Female,89,Yes,Yes,91,Yes,No,No,198186,Low
Hemlata,S497,15,Female,83,Yes,Yes,96,Yes,No,No,181503,Low
Atharv,S498,15,Male,89,Yes,No,76,Yes,No,No,178758,Low
Rohan,S499,10,Male,74,No,No,55,Half,Yes,No,114813,Medium
Hrithik,S500,12,Male,72,No,Yes,64,Half,No,No,102196,Medium
Aadhya,S501,15,Female,69,No,No,56,Half,Yes,No,91515,Medium
Daksh,S502,12,Male,84,Yes,Yes,77,Yes,No,No,202966,Low
Divit,S503,11,Male,74,No,Yes,66,Half,No,No,126649,Medium
Elan,S504,10,Male,82,Yes,No,88,Yes,No,No,197712,Low
Disha,S505,10,Female,65,No,No,37,No,Yes,Yes,55103,High
Damini,S506,15,Female,77,No,Yes,55,Half,Yes,No,122747,Medium
Kiara,S507,11,Female,56,No,No,46,No,Yes,Yes,64920,High
Ushna,S508,14,Female,97,Yes,No,90,Yes,No,No,185596,Low
Vihaan,S509,12,Male,72,No,No,61,Half,No,No,111428,Medium
Ayaan,S510,13,Male,56,No,No,42,Half,Yes,Yes,58381,High
Gagan,S511,11,Male,90,Yes,Yes,76,Yes,No,No,214704,Low
Hrithik,S512,11,Male,58,No,No,38,No,Yes,Yes,58731,High
Shaurya,S513,15,Male,90,Yes,Yes,84,Yes,No,No,203314,Low
Samar,S514,14,Male,77,No,Yes,61,Half,Yes,No,98995,Medium
Zaid,S515,15,Male,57,No,No,44,No,Yes,Yes,65347,High
Kashvi,S516,11,Female,63,No,No,49,Half,Yes,Yes,60451,High
Warda,S517,14,Female,90,Yes,Yes,81,Yes,No,No,186104,Low
Samar,S518,10,Male,63,No,No,49,No,Yes,Yes,64210,High
Atharv,S519,15,Male,80,Yes,Yes,82,Yes,No,No,146996,Low
Riya,S520,10,Female,91,Yes,Yes,72,Yes,No,No,152717,Low
Vivaan,S521,14,Male,75,No,Yes,61,Half,Yes,No,114278,Medium
Anika,S522,13,Female,96,Yes,Yes,88,Yes,No,No,196864,Low
Larisa,S523,14,Female,83,Yes,Yes,89,Yes,No,No,162758,Low
Tanaya,S524,11,Female,65,No,No,39,No,Yes,Yes,72859,High
Girija,S525,12,Female,72,No,No,55,Half,Yes,No,100671,Medium
Hiya,S526,10,Female,85,Yes,Yes,72,Yes,No,No,175480,Low
Eshani,S527,15,Female,77,No,No,62,Half,No,No,127512,Medium
Gauri,S528,11,Female,58,No,No,46,Half,Yes,Yes,75452,High
Yuvraj,S529,11,Male,80,No,No,60,Half,No,No,104360,Medium
Prisha,S530,10,Female,80,No,Yes,62,Half,Yes,No,122318,Medium
Ayaan,S531,14,Male,79,No,No,61,Half,No,No,94777,Medium
Tanish,S532,10,Male,98,Yes,Yes,79,Yes,No,No,233596,Low
Utkarsh,S533,11,Male,83,Yes,Yes,88,Yes,No,No,175534,Low
Yashvi,S534,13,Female,83,Yes,Yes,74,Yes,No,No,154208,Low
Reyansh,S535,10,Male,69,No,No,47,Half,Yes,Yes,60200,High
Riya,S536,12,Female,85,Yes,Yes,81,Yes,No,No,213036,Low
Eklavya,S537,15,Male,90,Yes,No,78,Yes,No,No,230789,Low
Aanya,S538,12,Female,61,No,No,47,No,Yes,Yes,64215,High
Lakshay,S539,10,Male,74,No,No,53,Half,Yes,No,124507,Medium
Warda,S540,12,Female,96,Yes,Yes,79,Yes,No,No,213358,Low
Ishan,S541,11,Male,89,Yes,No,73,Yes,No,No,173382,Low
Samar,S542,11,Male,77,No,No,59,Half,No,No,105670,Medium
Anika,S543,14,Female,91,Yes,No,82,Yes,No,No,162131,Low
Charvak,S544,14,Male,88,Yes,Yes,82,Yes,No,No,144334,Low
Avni,S545,12,Female,60,No,No,47,No,Yes,Yes,60744,High
Reyansh,S546,13,Male,71,No,No,62,Half,No,No,94050,Medium
Pari,S547,15,Female,67,No,No,37,No,Yes,Yes,75449,High
Itika,S548,14,Female,94,Yes,Yes,73,Yes,No,No,219450,Low
Leela,S549,12,Female,76,No,No,66,Half,No,No,109424,Medium
Veer,S550,14,Male,92,Yes,No,77,Yes,No,No,146737,Low
Ananya,S551,13,Female,94,Yes,Yes,87,Yes,No,No,190371,Low
Bhairavi,S552,14,Female,74,No,No,64,Half,Yes,No,112774,Medium
Myra,S553,10,Female,57,No,No,46,No,Yes,Yes,75895,High
Kiaan,S554,12,Male,78,No,No,62,Half,No,No,116162,Medium
Shaurya,S555,11,Male,56,No,No,39,Half,Yes,Yes,73996,High
Mahika,S556,10,Female,84,Yes,Yes,94,Yes,No,No,163918,Low
Darsh,S557,13,Male,75,No,Yes,62,Half,Yes,No,91327,Medium
Aditi,S558,10,Female,58,No,No,36,No,Yes,Yes,56309,High
Warda,S559,14,Female,90,Yes,Yes,94,Yes,No,No,155897,Low
Prisha,S560,12,Female,67,No,No,41,No,Yes,Yes,69696,High
Rudra,S561,12,Male,65,No,No,37,No,Yes,Yes,62290,High
Ridhi,S562,14,Female,82,Yes,Yes,86,Yes,No,No,228255,Low
Utkarsh,S563,13,Male,91,Yes,Yes,74,Yes,No,No,163122,Low
Oviya,S564,12,Female,71,No,No,58,Half,Yes,No,92450,Medium
Dhruv,S565,11,Male,59,No,No,45,No,Yes,Yes,71286,High
Tejas,S566,11,Male,79,No,No,56,Half,Yes,No,105819,Medium
Hiya,S567,12,Female,90,Yes,Yes,84,Yes,No,No,150695,Low
Nishtha,S568,11,Female,64,No,No,45,Half,Yes,Yes,55615,High
Veer,S569,12,Male,69,No,No,35,Half,Yes,Yes,67202,High
Aadi,S570,13,Male,97,Yes,Yes,95,Yes,No,No,230436,Low
Utkarsh,S571,10,Male,91,Yes,No,95,Yes,No,No,161537,Low
Krishna,S572,14,Male,94,Yes,Yes,92,Yes,No,No,139392,Low
Aanya,S573,13,Female,79,No,Yes,60,Half,No,No,100825,Medium
Shivansh,S574,13,Male,80,Yes,Yes,86,Yes,No,No,172073,Low
Vivaan,S575,14,Male,96,Yes,No,81,Yes,No,No,225564,Low
Prisha,S576,15,Female,72,No,No,54,Half,No,No,101031,Medium
Lakshay,S577,13,Male,80,Yes,Yes,76,Yes,No,No,135930,Low
Darsh,S578,14,Male,59,No,No,35,Half,Yes,Yes,66339,High
Rudransh,S579,14,Male,91,Yes,Yes,82,Yes,No,No,140378,Low
Yashvi,S580,10,Female,96,Yes,Yes,73,Yes,No,No,222193,Low
Chhavi,S581,11,Female,95,Yes,Yes,82,Yes,No,No,147071,Low
Xara,S582,11,Female,65,No,No,41,Half,Yes,Yes,66942,High
Shaurya,S583,14,Male,69,No,No,46,No,Yes,Yes,59378,High
Advik,S584,10,Male,63,No,No,36,Half,Yes,Yes,68713,High
Rohan,S585,14,Male,68,No,No,42,No,Yes,Yes,59310,High
Leela,S586,15,Female,68,No,No,37,No,Yes,Yes,76296,High
Ananya,S587,12,Female,78,No,Yes,54,Half,No,No,97900,Medium
Qiara,S588,15,Female,90,Yes,Yes,74,Yes,No,No,164027,Low
Krishna,S589,11,Male,63,No,No,46,No,Yes,Yes,64860,High
Siya,S590,11,Female,80,Yes,No,93,Yes,No,No,179772,Low
Rajveer,S591,13,Male,77,No,Yes,64,Half,Yes,No,105452,Medium
Samar,S592,15,Male,77,No,No,53,Half,Yes,No,99576,Medium
Jatin,S593,12,Male,80,No,Yes,59,Half,No,No,108762,Medium
Daksh,S594,10,Male,63,No,No,36,Half,Yes,Yes,75761,High
Wasim,S595,11,Male,81,Yes,No,95,Yes,No,No,139935,Low
Yuvraj,S596,14,Male,73,No,No,66,Half,No,No,112765,Medium
Ishaan,S597,13,Male,94,Yes,Yes,91,Yes,No,No,226879,Low
Aaradhya,S598,15,Female,97,Yes,Yes,94,Yes,No,No,225481,Low
Gauri,S599,15,Female,71,No,Yes,53,Half,Yes,No,122367,Medium
Aayush,S600,13,Male,86,Yes,Yes,91,Yes,No,No,213189,Low
Krishna,S601,15,Male,96,Yes,No,89,Yes,No,No,180644,Low
Vivaan,S602,13,Male,65,No,No,44,No,Yes,Yes,76162,High
Arjav,S603,11,Male,60,No,No,37,No,Yes,Yes,55045,High
Charvi,S604,14,Female,98,Yes,Yes,78,Yes,No,No,225316,Low
Gauri,S605,13,Female,98,Yes,Yes,84,Yes,No,No,142714,Low
Veer,S606,13,Male,86,Yes,No,91,Yes,No,No,143008,Low
Zara,S607,11,Female,66,No,No,38,No,Yes,Yes,72763,High
Rudra,S608,15,Male,82,Yes,Yes,85,Yes,No,No,189566,Low
Elan,S609,12,Male,94,Yes,Yes,82,Yes,No,No,220899,Low
Yashvi,S610,11,Female,93,Yes,No,78,Yes,No,No,179764,Low
Vanya,S611,14,Female,57,No,No,48,Half,Yes,Yes,75829,High
Palak,S612,11,Female,75,No,No,63,Half,Yes,No,105419,Medium
Lakshay,S613,14,Male,92,Yes,No,96,Yes,No,No,216973,Low
Arnav,S614,14,Male,73,No,Yes,57,Half,No,No,113438,Medium
Gargi,S615,15,Female,97,Yes,Yes,90,Yes,No,No,194163,Low
Kiaan,S616,13,Male,66,No,No,45,Half,Yes,Yes,74053,High
Ayaan,S617,13,Male,75,No,Yes,53,Half,Yes,No,100342,Medium
Navya,S618,14,Female,77,No,No,54,Half,Yes,No,119747,Medium
Ishita,S619,15,Female,78,No,Yes,62,Half,No,No,114815,Medium
Rishi,S620,11,Male,91,Yes,No,95,Yes,No,No,180121,Low
Meher,S621,14,Female,72,No,No,66,Half,No,No,113681,Medium
Anika,S622,14,Female,88,Yes,No,77,Yes,No,No,156142,Low
Charvak,S623,11,Male,90,Yes,Yes,73,Yes,No,No,170199,Low
Aarush,S624,13,Male,74,No,Yes,61,Half,No,No,115160,Medium
Ivy,S625,11,Female,82,Yes,Yes,80,Yes,No,No,153635,Low
Samar,S626,14,Male,55,No,No,37,Half,Yes,Yes,67999,High
Vaidehi,S627,14,Female,65,No,No,37,Half,Yes,Yes,68733,High
Rudransh,S628,11,Male,68,No,No,44,Half,Yes,Yes,65344,High
Aryan,S629,13,Male,59,No,No,41,No,Yes,Yes,61373,High
Urvi,S630,13,Female,57,No,No,49,Half,Yes,Yes,66821,High
Yuvraj,S631,12,Male,91,Yes,Yes,78,Yes,No,No,140829,Low
Ishaan,S632,10,Male,82,Yes,No,75,Yes,No,No,176919,Low
Chinmay,S633,12,Male,73,No,Yes,61,Half,Yes,No,107187,Medium
Diya,S634,11,Female,78,No,Yes,61,Half,No,No,121050,Medium
Samar,S635,13,Male,75,No,Yes,54,Half,Yes,No,102296,Medium
Bhavya,S636,13,Female,92,Yes,Yes,74,Yes,No,No,181716,Low
Hrithik,S637,15,Male,80,Yes,Yes,82,Yes,No,No,202945,Low
Aarav,S638,12,Male,55,No,No,45,Half,Yes,Yes,61714,High
Fiza,S639,11,Female,84,Yes,Yes,93,Yes,No,No,191971,Low
Vivaan,S640,11,Male,60,No,No,49,No,Yes,Yes,64879,High
Bhairavi,S641,13,Female,62,No,No,35,No,Yes,Yes,70930,High
Ayaan,S642,14,Male,80,Yes,Yes,82,Yes,No,No,191038,Low
Dev,S643,13,Male,57,No,No,48,Half,Yes,Yes,61572,High
Anika,S644,13,Female,92,Yes,Yes,91,Yes,No,No,165986,Low
Urvi,S645,13,Female,68,No,No,42,No,Yes,Yes,66977,High
Shivansh,S646,14,Male,71,No,Yes,65,Half,Yes,No,96554,Medium
Eshani,S647,13,Female,75,No,Yes,57,Half,Yes,No,117018,Medium
Rajveer,S648,14,Male,92,Yes,Yes,89,Yes,No,No,162385,Low
Fiza,S649,15,Female,73,No,Yes,63,Half,Yes,No,102344,Medium
Urvi,S650,14,Female,66,No,No,38,No,Yes,Yes,76573,High
Charvi,S651,12,Female,95,Yes,Yes,85,Yes,No,No,222946,Low
Janya,S652,14,Female,76,No,Yes,66,Half,No,No,117251,Medium
Ira,S653,10,Female,86,Yes,Yes,78,Yes,No,No,177727,Low
Feba,S654,11,Female,70,No,Yes,60,Half,No,No,107811,Medium
Eklavya,S655,13,Male,77,No,No,59,Half,Yes,No,91480,Medium
Saanvi,S656,13,Female,76,No,Yes,61,Half,Yes,No,95168,Medium
Jia,S657,13,Female,58,No,No,40,No,Yes,Yes,62438,High
Vaidehi,S658,14,Female,89,Yes,Yes,85,Yes,No,No,150826,Low
Diya,S659,13,Female,87,Yes,Yes,91,Yes,No,No,215024,Low
Amaira,S660,12,Female,69,No,No,36,Half,Yes,Yes,70091,High
Nishtha,S661,15,Female,60,No,No,41,Half,Yes,Yes,66801,High
Shaurya,S662,11,Male,77,No,Yes,64,Half,No,No,94864,Medium
Kian,S663,11,Male,90,Yes,No,93,Yes,No,No,222293,Low
Arnav,S664,10,Male,74,No,Yes,57,Half,Yes,No,98678,Medium
Avni,S665,10,Female,79,No,No,64,Half,Yes,No,121021,Medium
Sahil,S666,13,Male,58,No,No,44,Half,Yes,Yes,73392,High
Rishi,S667,10,Male,90,Yes,Yes,82,Yes,No,No,136408,Low
Rudra,S668,12,Male,80,No,Yes,64,Half,Yes,No,120552,Medium
Arnav,S669,12,Male,96,Yes,Yes,76,Yes,No,No,173731,Low
Reyan,S670,12,Male,97,Yes,No,95,Yes,No,No,233673,Low
Feba,S671,15,Female,57,No,No,45,No,Yes,Yes,73531,High
Rudransh,S672,11,Male,70,No,No,61,Half,No,No,95484,Medium
Ahaan,S673,14,Male,79,No,Yes,65,Half,No,No,108401,Medium
Shaurya,S674,13,Male,90,Yes,No,81,Yes,No,No,229830,Low
Aarohi,S675,13,Female,80,No,No,63,Half,Yes,No,94993,Medium
Feba,S676,13,Female,80,Yes,No,95,Yes,No,No,200753,Low
Leela,S677,10,Female,83,Yes,Yes,88,Yes,No,No,213016,Low
Rohan,S678,11,Male,66,No,No,46,Half,Yes,Yes,71136,High
Kartik,S679,10,Male,92,Yes,Yes,76,Yes,No,No,234361,Low
Mahika,S680,13,Female,78,No,No,61,Half,No,No,94111,Medium
Yash,S681,14,Male,85,Yes,Yes,92,Yes,No,No,193383,Low
Ahaan,S682,14,Male,81,Yes,Yes,81,Yes,No,No,141678,Low
Ishaan,S683,10,Male,59,No,No,40,Half,Yes,Yes,58650,High
Gargi,S684,13,Female,58,No,No,45,No,Yes,Yes,55051,High
Esha,S685,11,Female,60,No,No,40,Half,Yes,Yes,64381,High
Elan,S686,14,Male,62,No,No,45,Half,Yes,Yes,57108,High
Divit,S687,11,Male,83,Yes,Yes,78,Yes,No,No,161093,Low
Saanvi,S688,14,Female,80,Yes,No,76,Yes,No,No,193644,Low
Faiz,S689,13,Male,95,Yes,Yes,82,Yes,No,No,147835,Low
Aarav,S690,14,Male,79,No,Yes,63,Half,No,No,95343,Medium
Ishita,S691,14,Female,95,Yes,No,79,Yes,No,No,191120,Low
Elakshi,S692,14,Female,79,No,No,56,Half,No,No,119748,Medium
Aadhya,S693,10,Female,97,Yes,Yes,76,Yes,No,No,140075,Low
Neel,S694,14,Male,93,Yes,Yes,95,Yes,No,No,135659,Low
Rudransh,S695,10,Male,87,Yes,Yes,90,Yes,No,No,188876,Low
Aanya,S696,14,Female,57,No,No,49,No,Yes,Yes,55985,High
Zaid,S697,11,Male,87,Yes,Yes,92,Yes,No,No,178344,Low
Aanya,S698,15,Female,80,No,No,55,Half,No,No,121593,Medium
Rudra,S699,11,Male,57,No,No,43,Half,Yes,Yes,63780,High
Aayush,S700,15,Male,75,No,Yes,55,Half,Yes,No,90246,Medium
Ananya,S701,15,Female,92,Yes,Yes,87,Yes,No,No,217032,Low
Veer,S702,12,Male,76,No,Yes,65,Half,No,No,116039,Medium
Riya,S703,13,Female,61,No,No,40,Half,Yes,Yes,75557,High
Yuvraj,S704,12,Male,83,Yes,No,73,Yes,No,No,189470,Low
Yash,S705,10,Male,96,Yes,Yes,92,Yes,No,No,204858,Low
Aadhya,S706,15,Female,78,No,Yes,57,Half,Yes,No,108518,Medium
Tanaya,S707,15,Female,61,No,No,44,No,Yes,Yes,71159,High
Yatin,S708,10,Male,69,No,Yes,53,Half,Yes,No,91203,Medium
Pari,S709,11,Female,67,No,No,41,No,Yes,Yes,63183,High
Chhavi,S710,11,Female,80,Yes,No,92,Yes,No,No,142089,Low
Rohan,S711,15,Male,75,No,No,60,Half,No,No,110983,Medium
Vansh,S712,15,Male,75,No,No,54,Half,Yes,No,112076,Medium
Reyan,S713,15,Male,96,Yes,Yes,96,Yes,No,No,186397,Low
Aarav,S714,10,Male,78,No,Yes,58,Half,No,No,107733,Medium
Arnav,S715,12,Male,98,Yes,Yes,94,Yes,No,No,136178,Low
